CustomerID,Age,Gender,Income,Region,AccountType,AccountBalance,CreditScore,LoanType,LoanAmount,InterestRate,LoanStatus,CustomerTenureYears,NumTransactionsLastMonth,AvgTransactionValue,LastTransactionDate,RiskLevel
CUST00017,49,Female,68484.0,Khyber Pakhtunkhwa,Current,155449.07,602.0,No Loan,0.0,0.0,No Loan,8,12,4206.14,2026-07-10,Medium Risk
CUST00018,50,Female,74207.0,Punjab,Savings,68049.84,632.0,Car Loan,444081.05,16.48,Approved,0,16,3831.86,2026-08-01,Medium Risk
CUST00019,55,Male,77613.0,Punjab,Current,63759.24,627.0,Car Loan,1094615.17,21.67,Rejected,1,15,2650.45,2026-08-14,High Risk
CUST00020,35,Male,31104.0,Punjab,Savings,68631.01,738.0,No Loan,0.0,0.0,No Loan,1,13,1807.13,2026-06-27,Low Risk
CUST00021,28,Male,20000.0,Khyber Pakhtunkhwa,Savings,22563.28,670.0,Personal Loan,747591.5,14.89,Approved,2,11,823.98,2026-08-14,Medium Risk
CUST00022,38,Male,55462.0,Balochistan,Current,124471.65,658.0,Car Loan,1411540.76,16.27,Approved,5,11,2107.32,2026-08-07,Medium Risk
CUST00023,42,Female,56087.0,Islamabad Capital Territory,Savings,49539.43,611.0,Home Loan,4232132.79,8.81,Pending,1,7,3813.47,2026-07-17,Medium Risk
CUST00024,40,Female,40657.0,Punjab,Fixed Deposit,152963.79,639.0,Business Loan,1736977.52,21.07,Closed,2,12,2128.25,2026-07-06,Medium Risk
CUST00025,34,Male,70549.0,Punjab,Salary Account,69249.95,644.0,No Loan,0.0,0.0,No Loan,4,13,2107.98,2026-08-23,Medium Risk
CUST00026,22,Female,54066.0,Khyber Pakhtunkhwa,Savings,138625.18,642.0,Business Loan,1787029.31,10.08,Approved,7,13,1971.07,2026-07-17,Medium Risk
CUST00027,31,Male,50695.0,Balochistan,Fixed Deposit,3076.1,556.0,No Loan,0.0,0.0,No Loan,14,11,2849.98,2026-07-02,High Risk
CUST00028,54,Male,65641.0,Sindh,Savings,59968.39,679.0,No Loan,0.0,0.0,No Loan,4,21,2196.04,2026-07-02,Medium Risk
CUST00029,32,Male,58241.0,Gilgit-Baltistan,Savings,233349.68,645.0,Car Loan,1454567.75,15.56,Rejected,5,11,3928.15,2026-08-16,High Risk
CUST00030,39,Male,52426.0,Sindh,Savings,86323.53,518.0,Personal Loan,1462104.32,21.81,Rejected,3,10,2070.04,2026-08-02,High Risk
CUST00031,45,Female,99316.0,Punjab,Salary Account,409275.64,644.0,No Loan,0.0,0.0,No Loan,0,13,4738.29,2026-08-14,Medium Risk
CUST00032,51,Male,66884.0,Islamabad Capital Territory,Fixed Deposit,265614.38,659.0,No Loan,0.0,0.0,No Loan,14,16,3407.05,2026-08-09,Medium Risk
CUST00033,20,Male,45787.0,Khyber Pakhtunkhwa,Current,87898.52,587.0,Business Loan,2624809.33,20.0,Rejected,4,17,2880.35,2026-07-29,High Risk
CUST00034,53,Female,61158.0,Punjab,Savings,146385.19,586.0,No Loan,0.0,0.0,No Loan,2,12,563.59,2026-08-24,Medium Risk
CUST00035,48,Male,74267.0,Gilgit-Baltistan,Savings,214733.04,657.0,Education Loan,749074.78,12.94,Rejected,1,6,4257.87,2026-07-19,High Risk
CUST00036,25,Male,57084.0,Sindh,Current,54673.54,609.0,Personal Loan,198541.09,14.72,Approved,2,12,1948.99,2026-07-30,Medium Risk
CUST00037,43,Male,90115.0,Punjab,Salary Account,330441.74,653.0,No Loan,0.0,0.0,No Loan,6,8,4010.02,2026-08-15,Medium Risk
CUST00038,18,Female,20000.0,Khyber Pakhtunkhwa,Savings,5749.29,653.0,Car Loan,178614.58,14.54,Rejected,1,9,1124.5,2026-08-03,High Risk
CUST00039,24,Male,20840.0,Punjab,Savings,92955.08,675.0,No Loan,0.0,0.0,No Loan,3,6,1676.84,2026-08-17,Medium Risk
CUST00040,43,Male,50298.0,Punjab,Current,108820.88,562.0,Personal Loan,384017.44,10.67,Approved,1,6,3081.22,2026-07-31,High Risk
CUST00041,41,Male,55477.0,Islamabad Capital Territory,Fixed Deposit,91710.05,589.0,No Loan,0.0,0.0,No Loan,4,13,2038.64,2026-08-08,Medium Risk
CUST00042,43,Male,66993.0,Punjab,Savings,84859.55,693.0,Home Loan,2686317.69,9.2,Approved,0,10,1123.45,2026-06-29,Medium Risk
CUST00043,50,Male,87690.0,Sindh,Current,195546.88,656.0,No Loan,0.0,0.0,No Loan,16,19,4536.36,2026-07-10,Medium Risk
CUST00044,35,Female,47403.0,Khyber Pakhtunkhwa,Savings,53549.3,664.0,No Loan,0.0,0.0,No Loan,3,10,1971.03,2026-07-14,Medium Risk
CUST00045,33,Male,80526.0,Punjab,Current,125945.22,757.0,Business Loan,1950261.55,15.84,Closed,4,13,4571.46,2026-07-01,Low Risk
CUST00046,32,Female,70948.0,Khyber Pakhtunkhwa,Savings,115791.01,701.0,Car Loan,1148438.85,20.34,Approved,8,7,2332.65,2026-07-10,Low Risk
CUST00047,31,Female,31783.0,Khyber Pakhtunkhwa,Fixed Deposit,93783.18,743.0,Home Loan,948908.7,20.76,Approved,2,8,3143.82,2026-07-03,Low Risk
CUST00048,38,Male,98554.0,Islamabad Capital Territory,Fixed Deposit,130980.63,645.0,Car Loan,1402863.18,21.0,Approved,0,17,7579.63,2026-07-13,Medium Risk
CUST00049,29,Female,39864.0,Punjab,Fixed Deposit,405.01,535.0,Education Loan,532592.07,13.18,Pending,3,9,1797.27,2026-08-04,High Risk
CUST00050,33,Male,68110.0,Punjab,Current,179423.4,634.0,Education Loan,763248.62,16.54,Approved,6,9,1898.19,2026-07-18,Medium Risk
CUST00051,67,Male,61122.0,Punjab,Fixed Deposit,46515.43,729.0,Car Loan,249755.56,10.96,Pending,14,11,1698.49,2026-07-19,Low Risk
CUST00052,58,Male,90132.0,Sindh,Savings,80268.76,717.0,Personal Loan,1203875.81,10.91,Approved,1,7,2471.33,2026-07-09,Low Risk
CUST00053,39,Female,61518.0,Punjab,Current,93137.99,631.0,Personal Loan,327671.66,8.86,Approved,4,11,2432.76,2026-07-13,Medium Risk
CUST00054,49,Male,100094.0,Punjab,Current,105738.03,549.0,Education Loan,1150136.58,10.39,Closed,3,11,8400.8,2026-08-22,High Risk
CUST00055,62,Male,99606.0,Punjab,Savings,341795.28,701.0,Personal Loan,47218.2,20.84,Approved,4,9,7030.5,2026-08-04,Low Risk
CUST00056,42,Male,99313.0,Khyber Pakhtunkhwa,Savings,445487.24,560.0,Personal Loan,266099.39,18.46,Approved,4,9,2424.08,2026-08-02,High Risk
CUST00057,53,Male,49905.0,Punjab,Current,120412.55,662.0,No Loan,0.0,0.0,No Loan,1,13,5050.47,2026-07-07,Medium Risk
CUST00058,35,Male,41595.0,Punjab,Fixed Deposit,97976.18,600.0,Business Loan,4007108.6,17.88,Approved,4,10,3587.53,2026-08-09,Medium Risk
CUST00059,21,Female,27943.0,Sindh,Salary Account,93404.57,689.0,No Loan,0.0,0.0,No Loan,9,9,1637.25,2026-07-06,Medium Risk
CUST00060,39,Male,75662.0,Punjab,Current,121637.66,645.0,No Loan,0.0,0.0,No Loan,9,10,4814.37,2026-07-19,Medium Risk
CUST00061,20,Male,44925.0,Punjab,Savings,160152.63,578.0,Home Loan,2720481.9,19.17,Approved,4,17,2320.18,2026-08-25,High Risk
CUST00062,49,Female,97779.0,Punjab,Current,230225.86,646.0,Car Loan,373390.18,9.99,Approved,1,10,7731.16,2026-08-04,Medium Risk
CUST00063,18,Male,51918.5,Khyber Pakhtunkhwa,Savings,86340.51,606.0,No Loan,0.0,0.0,No Loan,3,13,1066.58,2026-07-30,Medium Risk
CUST00064,42,Female,20000.0,Punjab,Savings,23790.31,592.0,Education Loan,1328003.11,21.02,Closed,0,11,1475.61,2026-08-07,Medium Risk
CUST00065,41,Female,48186.0,Punjab,Savings,151938.32,752.0,Business Loan,1364720.21,10.25,Pending,15,14,2238.77,2026-08-16,Low Risk
CUST00066,27,Male,62902.0,Sindh,Savings,50025.92,613.0,No Loan,0.0,0.0,No Loan,3,12,3426.63,2026-08-12,Medium Risk
CUST00067,52,Female,42504.0,Sindh,Savings,164513.11,713.0,No Loan,0.0,0.0,No Loan,10,14,3300.15,2026-07-10,Low Risk
CUST00068,44,Male,51941.0,Khyber Pakhtunkhwa,Savings,153023.64,649.0,Personal Loan,933051.84,21.75,Rejected,1,13,3925.13,2026-06-28,High Risk
CUST00069,40,Female,46365.0,Sindh,Salary Account,92753.22,654.0,Education Loan,1038070.87,9.42,Approved,6,10,1799.96,2026-07-15,Medium Risk
CUST00070,41,Female,54324.0,Khyber Pakhtunkhwa,Current,56662.07,560.0,Business Loan,3483727.02,11.48,Approved,5,14,327.24,2026-07-13,High Risk
CUST00071,34,Female,20526.0,Gilgit-Baltistan,Savings,40478.88,585.0,No Loan,0.0,0.0,No Loan,2,17,512.52,2026-07-09,Medium Risk
CUST00072,54,Female,85837.0,Punjab,Salary Account,274989.69,704.0,No Loan,0.0,0.0,No Loan,4,7,5060.45,2026-08-22,Low Risk
CUST00073,51,Female,81885.0,Sindh,Savings,49127.24,774.0,Home Loan,367834.24,16.36,Approved,7,10,3353.51,2026-08-18,Low Risk
CUST00074,18,Female,55588.0,Islamabad Capital Territory,Fixed Deposit,5105.84,578.0,Education Loan,230893.4,15.23,Rejected,6,13,2726.36,2026-07-15,High Risk
CUST00075,26,Male,40541.0,Punjab,Savings,11116.94,616.0,Car Loan,1204868.31,11.2,Approved,0,13,2075.4,2026-08-05,Medium Risk
CUST00076,29,Female,53031.0,Balochistan,Savings,195822.82,720.0,Car Loan,799075.94,18.38,Approved,0,9,2861.13,2026-07-20,Low Risk
CUST00077,24,Female,23967.0,Khyber Pakhtunkhwa,Current,74476.41,650.0,Education Loan,1462693.88,17.28,Approved,5,6,1074.98,2026-08-20,Medium Risk
CUST00078,18,Female,53321.0,Sindh,Savings,119183.9,649.0,Car Loan,740270.03,20.29,Closed,2,9,3782.7,2026-07-24,Medium Risk
CUST00079,43,Female,28654.0,Sindh,Fixed Deposit,34599.76,651.0,Personal Loan,1457664.74,10.94,Closed,3,11,2091.03,2026-07-12,Medium Risk
CUST00080,18,Male,39357.0,Punjab,Current,62764.29,600.0,No Loan,0.0,0.0,No Loan,3,9,2240.6,2026-07-11,Medium Risk
CUST00081,18,Male,36354.0,Balochistan,Savings,77102.47,678.0,Personal Loan,74273.71,18.44,Rejected,3,13,1629.36,2026-07-30,High Risk
CUST00082,34,Male,50409.0,Islamabad Capital Territory,Savings,29419.35,686.0,Car Loan,81527.83,10.5,Closed,16,13,2439.07,2026-07-12,Medium Risk
CUST00083,18,Male,51918.5,Khyber Pakhtunkhwa,Savings,119890.33,598.0,Car Loan,1455469.83,9.77,Rejected,2,17,6972.2,2026-08-01,High Risk
CUST00084,42,Female,58027.0,Sindh,Salary Account,203027.06,716.0,Car Loan,602919.32,17.29,Approved,5,13,4278.95,2026-08-19,Low Risk
CUST00085,18,Female,20000.0,Khyber Pakhtunkhwa,Fixed Deposit,60384.32,701.0,No Loan,0.0,0.0,No Loan,0,12,561.49,2026-07-20,Low Risk
CUST00086,19,Male,20000.0,Sindh,Savings,51653.24,718.0,No Loan,0.0,0.0,No Loan,3,11,1403.93,2026-07-10,Low Risk
CUST00087,31,Male,45101.0,Punjab,Savings,108565.55,784.0,No Loan,0.0,0.0,No Loan,7,20,2939.62,2026-08-25,Low Risk
CUST00088,40,Male,51677.0,Punjab,Current,97240.85,586.0,No Loan,0.0,0.0,No Loan,3,10,1443.25,2026-07-27,Medium Risk
CUST00089,29,Female,20000.0,Punjab,Savings,58732.0,544.0,No Loan,0.0,0.0,No Loan,0,13,992.14,2026-07-02,High Risk
CUST00090,43,Female,45525.0,Sindh,Salary Account,120071.53,647.0,Personal Loan,924251.86,14.05,Pending,11,10,2313.21,2026-06-29,Medium Risk
CUST00091,46,Female,49588.0,Sindh,Current,20663.32,776.0,Personal Loan,1110573.14,20.15,Approved,0,13,1926.5,2026-07-03,Low Risk
CUST00092,20,Female,40259.0,Punjab,Current,77058.7,730.0,No Loan,0.0,0.0,No Loan,23,7,1567.21,2026-08-03,Low Risk
CUST00093,18,Female,44083.0,Punjab,Savings,147185.54,570.0,Home Loan,393648.02,15.51,Approved,8,9,2495.87,2026-08-13,High Risk
CUST00094,47,Male,35484.0,Khyber Pakhtunkhwa,Salary Account,78054.27,741.0,Personal Loan,852199.29,21.43,Approved,5,8,2071.57,2026-07-22,Low Risk
CUST00095,56,Male,67930.0,Punjab,Current,185986.8,642.0,No Loan,0.0,0.0,No Loan,13,12,6547.54,2026-06-30,Medium Risk
CUST00096,41,Male,44413.0,Balochistan,Fixed Deposit,140409.25,595.0,Education Loan,839627.32,12.62,Approved,2,13,1038.17,2026-07-19,Medium Risk
CUST00097,40,Female,56361.0,Balochistan,Savings,214058.96,642.0,Business Loan,4346880.62,19.38,Pending,1,6,3422.81,2026-08-25,Medium Risk
CUST00098,26,Male,40863.0,Balochistan,Savings,147200.76,631.0,No Loan,0.0,0.0,No Loan,7,8,2711.48,2026-07-28,Medium Risk
CUST00099,32,Male,21992.0,Punjab,Savings,22022.94,658.0,No Loan,0.0,0.0,No Loan,2,10,686.44,2026-08-24,Medium Risk
CUST00100,35,Female,63902.0,Sindh,Savings,4695.16,636.0,Education Loan,105515.23,17.88,Closed,1,8,5100.31,2026-08-17,Medium Risk
CUST00101,40,Male,40701.0,Punjab,Current,171225.37,711.0,Car Loan,800021.37,14.25,Approved,10,11,1082.55,2026-06-27,Low Risk
CUST00102,18,Female,51966.0,Punjab,Savings,133334.56,602.0,Personal Loan,37938.75,11.76,Closed,8,21,3005.51,2026-08-09,Medium Risk
CUST00103,18,Male,81513.0,Balochistan,Savings,161982.87,596.0,No Loan,0.0,0.0,No Loan,3,11,6474.04,2026-08-06,Medium Risk
CUST00104,34,Female,77758.0,Sindh,Savings,224148.27,785.0,No Loan,0.0,0.0,No Loan,11,13,2945.92,2026-07-29,Low Risk
CUST00105,22,Male,36367.0,Khyber Pakhtunkhwa,Current,98123.13,640.0,Personal Loan,1435622.07,18.46,Approved,1,10,1056.89,2026-07-13,Medium Risk
CUST00106,43,Male,67063.0,Khyber Pakhtunkhwa,Savings,14712.35,714.0,No Loan,0.0,0.0,No Loan,2,9,2338.09,2026-08-04,Low Risk
CUST00107,44,Female,91815.0,Sindh,Savings,327591.48,723.0,No Loan,0.0,0.0,No Loan,4,13,5579.22,2026-07-03,Low Risk
CUST00108,49,Male,81120.0,Punjab,Savings,154702.65,788.0,No Loan,0.0,0.0,No Loan,1,7,2266.15,2026-07-23,Low Risk
CUST00109,20,Female,55225.0,Balochistan,Salary Account,186618.49,654.0,No Loan,0.0,0.0,No Loan,3,15,2961.19,2026-07-24,Medium Risk
CUST00110,21,Female,31240.0,Khyber Pakhtunkhwa,Fixed Deposit,37623.68,700.0,No Loan,0.0,0.0,No Loan,3,13,1575.29,2026-08-23,Low Risk
CUST00111,58,Male,93588.0,Islamabad Capital Territory,Current,289626.54,602.0,Personal Loan,1095163.34,21.89,Approved,2,15,7805.06,2026-08-18,Medium Risk
CUST00112,41,Female,44733.0,Khyber Pakhtunkhwa,Current,0.0,595.0,No Loan,0.0,0.0,No Loan,2,10,2816.64,2026-07-12,Medium Risk
CUST00113,27,Male,20000.0,Khyber Pakhtunkhwa,Salary Account,37329.45,517.0,No Loan,0.0,0.0,No Loan,0,13,779.26,2026-07-27,High Risk
CUST00114,67,Female,91961.0,Sindh,Current,208589.45,740.0,Business Loan,2516365.63,9.54,Approved,2,15,5687.84,2026-07-07,Low Risk
CUST00115,18,Female,50023.0,Punjab,Savings,98931.86,626.0,Car Loan,1497554.32,21.1,Rejected,2,13,2274.56,2026-08-20,High Risk
CUST00116,25,Female,68366.0,Sindh,Savings,54634.2,655.0,Education Loan,403759.2,14.3,Closed,9,11,1000.28,2026-08-18,Medium Risk
CUST00117,39,Male,45738.0,Sindh,Savings,125878.88,670.0,No Loan,0.0,0.0,No Loan,0,15,2195.28,2026-07-14,Medium Risk
CUST00118,34,Male,58075.0,Punjab,Savings,176974.12,735.0,Home Loan,216387.32,9.35,Closed,0,12,2588.84,2026-08-04,Low Risk
CUST00119,39,Male,57383.0,Sindh,Salary Account,0.0,616.0,No Loan,0.0,0.0,No Loan,19,9,3206.05,2026-08-02,Medium Risk
CUST00120,20,Male,34399.0,Punjab,Savings,41392.9,583.0,No Loan,0.0,0.0,No Loan,4,12,1162.51,2026-07-06,Medium Risk
CUST00121,33,Female,51807.0,Khyber Pakhtunkhwa,Current,12950.15,467.0,Education Loan,1277963.55,17.53,Rejected,2,14,2611.9,2026-08-11,High Risk
CUST00122,28,Female,25818.0,Khyber Pakhtunkhwa,Savings,35518.65,597.0,No Loan,0.0,0.0,No Loan,3,9,798.64,2026-07-29,Medium Risk
CUST00123,32,Female,59585.0,Sindh,Salary Account,217103.82,641.0,Home Loan,572094.81,17.37,Pending,2,9,4074.7,2026-08-12,Medium Risk
CUST00124,28,Female,71703.0,Punjab,Salary Account,188863.76,678.0,No Loan,0.0,0.0,No Loan,1,8,2371.42,2026-07-28,Medium Risk
CUST00125,40,Male,75422.0,Punjab,Savings,201048.87,742.0,No Loan,0.0,0.0,No Loan,2,13,3488.8,2026-06-27,Low Risk
CUST00126,48,Male,66818.0,Sindh,Fixed Deposit,232690.07,669.0,Business Loan,4104364.39,15.8,Pending,1,12,2868.94,2026-07-16,Medium Risk
CUST00127,35,Male,20000.0,Balochistan,Savings,30569.51,660.0,Personal Loan,230118.54,13.2,Rejected,6,14,1399.32,2026-06-28,High Risk
CUST00128,31,Male,46548.0,Punjab,Current,79393.96,610.0,Business Loan,1174538.81,19.8,Approved,5,14,2514.67,2026-08-21,Medium Risk
CUST00129,49,Male,34281.0,Islamabad Capital Territory,Salary Account,119935.08,708.0,Business Loan,3370124.94,16.07,Approved,2,12,224.42,2026-08-18,Low Risk
CUST00130,47,Female,60111.0,Punjab,Fixed Deposit,194878.97,696.0,Business Loan,3782111.42,19.37,Approved,16,14,2482.0,2026-08-15,Medium Risk
CUST00131,44,Female,51538.0,Punjab,Fixed Deposit,117543.32,626.0,Home Loan,1541263.04,16.58,Approved,1,15,3556.44,2026-07-15,Medium Risk
CUST00132,57,Female,95157.0,Punjab,Current,348214.26,680.0,Business Loan,3014943.62,10.05,Approved,12,17,6969.07,2026-06-30,Medium Risk
CUST00133,18,Male,20000.0,Sindh,Fixed Deposit,50760.16,676.0,No Loan,0.0,0.0,No Loan,4,13,1030.17,2026-08-18,Medium Risk
CUST00134,18,Male,23585.0,Sindh,Salary Account,33040.27,623.0,No Loan,0.0,0.0,No Loan,0,9,1978.81,2026-08-22,Medium Risk
CUST00135,34,Male,20000.0,Punjab,Current,30472.22,539.0,Personal Loan,344221.84,9.0,Approved,2,15,249.93,2026-07-02,High Risk
CUST00136,38,Female,34521.0,Sindh,Savings,55617.31,700.0,Car Loan,1489368.92,10.28,Approved,2,11,1740.76,2026-07-26,Low Risk
CUST00137,46,Female,101883.0,Punjab,Fixed Deposit,366899.15,682.0,Personal Loan,913617.27,17.77,Approved,2,11,4663.94,2026-07-01,Medium Risk
CUST00138,25,Female,51198.0,Khyber Pakhtunkhwa,Current,86144.01,632.0,No Loan,0.0,0.0,No Loan,12,13,2579.2,2026-08-11,Medium Risk
CUST00139,37,Female,34180.0,Punjab,Savings,65381.25,522.0,Personal Loan,202044.88,16.04,Rejected,6,14,893.03,2026-08-11,High Risk
CUST00140,48,Male,59355.0,Khyber Pakhtunkhwa,Fixed Deposit,250370.04,645.0,Car Loan,569335.19,16.61,Pending,5,11,3930.26,2026-07-04,Medium Risk
CUST00141,25,Male,27646.0,Punjab,Current,67679.46,613.0,Home Loan,3401747.17,16.68,Approved,1,14,1120.3,2026-07-25,Medium Risk
CUST00142,36,Male,49046.0,Punjab,Savings,101161.44,626.0,Business Loan,624887.85,21.4,Approved,10,13,4020.44,2026-07-29,Medium Risk
CUST00143,18,Female,20000.0,Punjab,Current,38115.3,752.0,No Loan,0.0,0.0,No Loan,8,11,684.89,2026-07-12,Low Risk
CUST00144,29,Male,20000.0,Gilgit-Baltistan,Current,25659.0,560.0,Car Loan,743568.79,13.92,Closed,10,13,1095.7,2026-08-18,High Risk
CUST00145,31,Female,51918.5,Punjab,Current,50549.12,653.0,Business Loan,696729.1,19.17,Approved,7,19,1150.84,2026-07-22,Medium Risk
CUST00146,36,Male,57981.0,Punjab,Savings,100552.34,611.0,Home Loan,2907531.19,20.19,Closed,2,8,4492.88,2026-07-09,Medium Risk
CUST00147,50,Female,63288.0,Islamabad Capital Territory,Savings,246121.02,480.0,No Loan,0.0,0.0,No Loan,13,14,2186.12,2026-07-29,High Risk
CUST00148,41,Male,86234.0,Punjab,Savings,309173.86,720.0,Personal Loan,1112046.89,19.76,Approved,0,14,5196.61,2026-08-09,Low Risk
CUST00149,27,Female,46095.0,Sindh,Savings,73236.26,627.0,Personal Loan,1216188.11,21.29,Approved,15,12,2305.86,2026-07-09,Medium Risk
CUST00150,27,Female,36319.0,Punjab,Savings,57194.18,585.0,No Loan,0.0,0.0,No Loan,13,11,1133.22,2026-07-15,Medium Risk
CUST00151,18,Male,26687.0,Sindh,Salary Account,87868.42,543.0,Business Loan,2540265.56,14.57,Rejected,4,6,1765.14,2026-08-25,High Risk
CUST00152,25,Female,44314.0,Sindh,Savings,172761.05,633.0,Personal Loan,951745.39,9.23,Pending,1,4,647.8,2026-08-04,Medium Risk
CUST00153,26,Female,67739.0,Punjab,Savings,81846.74,699.0,No Loan,0.0,0.0,No Loan,11,11,3915.94,2026-07-23,Medium Risk
CUST00154,35,Male,48761.0,Punjab,Current,192817.85,699.0,No Loan,0.0,0.0,No Loan,7,10,3643.55,2026-07-28,Medium Risk
CUST00155,31,Female,49094.0,Punjab,Salary Account,75088.12,502.0,Home Loan,1880575.62,9.21,Pending,2,9,3474.98,2026-07-04,High Risk
CUST00156,36,Male,51918.5,Punjab,Savings,271766.9,603.0,No Loan,0.0,0.0,No Loan,2,14,5501.45,2026-07-10,Medium Risk
CUST00157,26,Female,20000.0,Punjab,Savings,53518.58,592.0,Home Loan,1719860.46,8.76,Approved,2,12,1965.05,2026-07-17,Medium Risk
CUST00158,46,Male,77051.0,Sindh,Current,121022.7,704.0,Education Loan,205814.32,8.73,Rejected,8,7,4959.29,2026-08-01,High Risk
CUST00159,48,Male,47444.0,Sindh,Savings,89359.25,650.0,No Loan,0.0,0.0,No Loan,0,17,2160.41,2026-07-10,Medium Risk
CUST00160,54,Male,63304.0,Punjab,Savings,133220.59,645.0,Education Loan,1415231.99,19.1,Closed,3,21,5268.75,2026-07-10,Medium Risk
CUST00161,29,Male,28254.0,Punjab,Current,75689.57,643.0,No Loan,0.0,0.0,No Loan,5,11,954.5,2026-07-01,Medium Risk
CUST00162,21,Female,27025.0,Islamabad Capital Territory,Fixed Deposit,0.0,573.0,Education Loan,803896.39,11.77,Rejected,5,6,2480.65,2026-08-03,High Risk
CUST00163,63,Female,36638.0,Sindh,Savings,13488.12,633.0,Business Loan,4906903.02,19.21,Closed,1,21,660.86,2026-07-10,Medium Risk
CUST00164,42,Male,40884.0,Sindh,Salary Account,50855.77,666.0,No Loan,0.0,0.0,No Loan,0,12,2059.86,2026-08-20,Medium Risk
CUST00165,53,Male,101382.0,Punjab,Current,308623.55,677.0,Home Loan,4634660.64,11.59,Rejected,1,10,4116.02,2026-08-17,High Risk
CUST00166,40,Male,55906.0,Khyber Pakhtunkhwa,Savings,70878.04,692.0,No Loan,0.0,0.0,No Loan,0,15,2592.67,2026-07-01,Medium Risk
CUST00167,39,Male,58960.0,Gilgit-Baltistan,Current,82992.64,696.0,Home Loan,3300323.81,11.75,Approved,12,7,2468.02,2026-07-11,Medium Risk
CUST00168,45,Female,23893.0,Sindh,Current,99094.07,580.0,No Loan,0.0,0.0,No Loan,14,17,558.95,2026-08-06,Medium Risk
CUST00169,32,Female,20000.0,Punjab,Current,31898.39,600.0,Personal Loan,122131.24,21.2,Rejected,2,10,1272.09,2026-07-09,High Risk
CUST00170,51,Male,72336.0,Punjab,Savings,83747.97,682.0,Home Loan,2636425.4,9.24,Closed,1,10,2911.92,2026-07-04,Medium Risk
CUST00171,51,Male,90113.0,Balochistan,Savings,194401.93,611.0,No Loan,0.0,0.0,No Loan,1,11,3428.78,2026-08-22,Medium Risk
CUST00172,54,Female,58239.0,Sindh,Fixed Deposit,69881.72,681.0,No Loan,0.0,0.0,No Loan,0,9,4544.5,2026-07-31,Medium Risk
CUST00173,48,Male,86084.0,Punjab,Current,222482.24,656.0,No Loan,0.0,0.0,No Loan,5,14,4700.31,2026-07-25,Medium Risk
CUST00174,42,Female,48234.0,Balochistan,Savings,98734.8,671.0,No Loan,0.0,0.0,No Loan,4,19,3163.12,2026-08-13,Medium Risk
CUST00175,42,Male,45431.0,Khyber Pakhtunkhwa,Savings,0.0,622.0,No Loan,0.0,0.0,No Loan,8,12,1836.47,2026-08-14,Medium Risk
